23127,tarik,CLG,hazed,CLG,jdm64,CLG,reltuC,CLG,FNS,CLG,coldzera,Luminosity,boltz,Luminosity,steel,Luminosity,fer,Luminosity,FalleN,Luminosity
23128,coldzera,Luminosity,steel,Luminosity,fer,Luminosity,FalleN,Luminosity,boltz,Luminosity,tarik,CLG,FNS,CLG,jdm64,CLG,reltuC,CLG,hazed,CLG
23129,jdm64,CLG,FNS,CLG,hazed,CLG,tarik,CLG,reltuC,CLG,FalleN,Luminosity,fer,Luminosity,coldzera,Luminosity,steel,Luminosity,boltz,Luminosity
23138,hazed,CLG,FNS,CLG,tarik,CLG,reltuC,CLG,jdm64,CLG,FalleN,Luminosity,coldzera,Luminosity,fer,Luminosity,boltz,Luminosity,steel,Luminosity
23139,coldzera,Luminosity,boltz,Luminosity,fer,Luminosity,tarik,CLG,steel,Luminosity,FalleN,Luminosity,hazed,CLG,jdm64,CLG,reltuC,CLG,FNS,CLG
23140,jdm64,CLG,reltuC,CLG,hazed,CLG,tarik,CLG,FNS,CLG,FalleN,Luminosity,coldzera,Luminosity,boltz,Luminosity,steel,Luminosity,fer,Luminosity
23231,shinobi,Mortality,SicK,Mortality,vice,Mortality,jdm64,CLG,FNS,CLG,reltuC,CLG,f0bless,Mortality,hazed,CLG,witmer,Mortality,tarik,CLG
23232,reltuC,CLG,hazed,CLG,tarik,CLG,jdm64,CLG,witmer,Mortality,SicK,Mortality,FNS,CLG,f0bless,Mortality,shinobi,Mortality,vice,Mortality
23233,jdm64,CLG,FNS,CLG,tarik,CLG,reltuC,CLG,hazed,CLG,FugLy,Liquid,Hiko,Liquid,EliGE,Liquid,nitr0,Liquid,adreN,Liquid
23234,tarik,CLG,FugLy,Liquid,adreN,Liquid,FNS,CLG,jdm64,CLG,hazed,CLG,EliGE,Liquid,reltuC,CLG,Hiko,Liquid,nitr0,Liquid
23260,FalleN,Luminosity,reltuC,CLG,coldzera,Luminosity,tarik,CLG,boltz,Luminosity,fer,Luminosity,jdm64,CLG,FNS,CLG,hazed,CLG,steel,Luminosity
23261,fer,Luminosity,hazed,CLG,tarik,CLG,reltuC,CLG,steel,Luminosity,boltz,Luminosity,jdm64,CLG,coldzera,Luminosity,FNS,CLG,FalleN,Luminosity
23262,FalleN,Luminosity,coldzera,Luminosity,fer,Luminosity,boltz,Luminosity,steel,Luminosity,hazed,CLG,jdm64,CLG,tarik,CLG,FNS,CLG,reltuC,CLG
23298,tarik,CLG,hazed,CLG,jdm64,CLG,FNS,CLG,reltuC,CLG,FugLy,Liquid,Hiko,Liquid,EliGE,Liquid,adreN,Liquid,nitr0,Liquid
23299,nitr0,Liquid,FugLy,Liquid,EliGE,Liquid,Hiko,Liquid,adreN,Liquid,tarik,CLG,FNS,CLG,jdm64,CLG,reltuC,CLG,hazed,CLG
23300,FNS,CLG,tarik,CLG,hazed,CLG,Hiko,Liquid,FugLy,Liquid,jdm64,CLG,reltuC,CLG,nitr0,Liquid,adreN,Liquid,EliGE,Liquid
23301,jdm64,CLG,nitr0,Liquid,hazed,CLG,reltuC,CLG,tarik,CLG,adreN,Liquid,Hiko,Liquid,EliGE,Liquid,FNS,CLG,FugLy,Liquid
23302,tarik,CLG,FNS,CLG,adreN,Liquid,FugLy,Liquid,hazed,CLG,nitr0,Liquid,jdm64,CLG,reltuC,CLG,EliGE,Liquid,Hiko,Liquid
23373,reltuC,CLG,hazed,CLG,roca,compLexity,sancz,compLexity,tarik,CLG,FNS,CLG,SEMPHIS,compLexity,jdm64,CLG,autimatic,compLexity,valens,compLexity
23374,FNS,CLG,jdm64,CLG,reltuC,CLG,tarik,CLG,hazed,CLG,autimatic,compLexity,SEMPHIS,compLexity,roca,compLexity,valens,compLexity,sancz,compLexity
23436,nitr0,Liquid,Hiko,Liquid,EliGE,Liquid,adreN,Liquid,jdm64,CLG,FugLy,Liquid,tarik,CLG,hazed,CLG,reltuC,CLG,FNS,CLG
23437,jdm64,CLG,nitr0,Liquid,hazed,CLG,adreN,Liquid,FNS,CLG,tarik,CLG,reltuC,CLG,FugLy,Liquid,EliGE,Liquid,Hiko,Liquid
23453,hazed,CLG,ryx,Conquest,jdm64,CLG,ShahZaM,Conquest,reltuC,CLG,daps,Conquest,RUSH,Conquest,FNS,CLG,tarik,CLG,NAF-FLY,Conquest
23454,ryx,Conquest,RUSH,Conquest,NAF-FLY,Conquest,daps,Conquest,hazed,CLG,jdm64,CLG,reltuC,CLG,FNS,CLG,tarik,CLG,ShahZaM,Conquest
23455,jdm64,CLG,ShahZaM,Conquest,RUSH,Conquest,FNS,CLG,tarik,CLG,ryx,Conquest,daps,Conquest,NAF-FLY,Conquest,reltuC,CLG,hazed,CLG
23595,SEMPHIS,compLexity,sancz,compLexity,autimatic,compLexity,roca,compLexity,tarik,CLG,valens,compLexity,jdm64,CLG,hazed,CLG,reltuC,CLG,FNS,CLG
23596,jdm64,CLG,reltuC,CLG,FNS,CLG,Toy,Method,just9n,Method,tarik,CLG,streboR,Method,hazed,CLG,SileNt3m,Method,Eley,Method
23632,FalleN,Luminosity,coldzera,Luminosity,fer,Luminosity,reltuC,CLG,steel,Luminosity,hazed,CLG,boltz,Luminosity,jdm64,CLG,tarik,CLG,FNS,CLG
23633,FalleN,Luminosity,tarik,CLG,reltuC,CLG,jdm64,CLG,steel,Luminosity,fer,Luminosity,FNS,CLG,hazed,CLG,coldzera,Luminosity,boltz,Luminosity
23659,hazed,CLG,ryx,Conquest,jdm64,CLG,tarik,CLG,reltuC,CLG,NAF-FLY,Conquest,FNS,CLG,ShahZaM,Conquest,RUSH,Conquest,daps,Conquest
23709,jdm64,CLG,hazed,CLG,tarik,CLG,reltuC,CLG,FNS,CLG,inVert,Coast,draWsouL,Coast,draek,Coast,stanislaw,Coast,DUM0RE,Coast
23745,tarik,CLG,jdm64,CLG,hazed,CLG,reltuC,CLG,koosta,Enemy,FNS,CLG,Relyks,Enemy,MAiNLiNE,Enemy,Anomaly,Enemy,Uber,Enemy
23762,reltuC,CLG,jdm64,CLG,hazed,CLG,FNS,CLG,tarik,CLG,wabbit,Splyce,hades,Splyce,OCEAN,Splyce,APE,Splyce,els,Splyce
23763,tarik,CLG,reltuC,CLG,hazed,CLG,jdm64,CLG,OCEAN,Splyce,FNS,CLG,APE,Splyce,wabbit,Splyce,hades,Splyce,els,Splyce
23766,rooRoooo,ex-eLevate,Stewie2K,ex-eLevate,ptr,ex-eLevate,aKis,ex-eLevate,FNS,CLG,reltuC,CLG,tarik,CLG,hazed,CLG,Slemmy,ex-eLevate,jdm64,CLG
23767,tarik,CLG,FNS,CLG,hazed,CLG,ptr,ex-eLevate,jdm64,CLG,reltuC,CLG,Stewie2K,ex-eLevate,rooRoooo,ex-eLevate,aKis,ex-eLevate,Slemmy,ex-eLevate
23768,Stewie2K,ex-eLevate,ptr,ex-eLevate,hazed,CLG,jdm64,CLG,aKis,ex-eLevate,rooRoooo,ex-eLevate,Slemmy,ex-eLevate,tarik,CLG,FNS,CLG,reltuC,CLG
23881,hazed,CLG,reltuC,CLG,jdm64,CLG,FNS,CLG,oskarish,CSGL,innocent,CSGL,tarik,CLG,SZPERO,CSGL,Loord,CSGL,MICHU,CSGL
23882,hazed,CLG,jdm64,CLG,tarik,CLG,SZPERO,CSGL,reltuC,CLG,FNS,CLG,innocent,CSGL,oskarish,CSGL,Loord,CSGL,MICHU,CSGL
23883,reltuC,CLG,jdm64,CLG,bondik,FlipSid3,DavCost,FlipSid3,tarik,CLG,markeloff,FlipSid3,hazed,CLG,FNS,CLG,B1ad3,FlipSid3,WorldEdit,FlipSid3
23884,jdm64,CLG,reltuC,CLG,B1ad3,FlipSid3,WorldEdit,FlipSid3,FNS,CLG,hazed,CLG,tarik,CLG,DavCost,FlipSid3,markeloff,FlipSid3,bondik,FlipSid3
24088,jdm64,CLG,tarik,CLG,FNS,CLG,reltuC,CLG,hazed,CLG,Anomaly,Enemy,koosta,Enemy,MAiNLiNE,Enemy,Relyks,Enemy,Uber,Enemy
24089,reltuC,CLG,tarik,CLG,jdm64,CLG,hazed,CLG,FNS,CLG,koosta,Enemy,MAiNLiNE,Enemy,Relyks,Enemy,Uber,Enemy,Anomaly,Enemy
24141,tarik,CLG,jdm64,CLG,reltuC,CLG,cJ,ACE,FNS,CLG,hazed,CLG,feNeK,ACE,saV,ACE,Marved,ACE,n0swal,ACE
24206,streboR,Method,FNS,CLG,reltuC,CLG,Toy,Method,hazed,CLG,jdm64,CLG,Eley,Method,just9n,Method,SileNt3m,Method,tarik,CLG
24207,jdm64,CLG,Toy,Method,hazed,CLG,tarik,CLG,FNS,CLG,just9n,Method,SileNt3m,Method,streboR,Method,reltuC,CLG,Eley,Method
24208,tarik,CLG,jdm64,CLG,hazed,CLG,reltuC,CLG,DAVEY,3sUP,FNS,CLG,jasonR,3sUP,abE,3sUP,arya,3sUP,kiko,3sUP
24209,tarik,CLG,reltuC,CLG,hazed,CLG,jdm64,CLG,FNS,CLG,jasonR,3sUP,DAVEY,3sUP,kiko,3sUP,abE,3sUP,arya,3sUP
24420,FNS,CLG,tarik,CLG,jdm64,CLG,pyth,Winterfox,reltuC,CLG,hazed,CLG,LeX,Winterfox,Devilwalk,Winterfox,anger,Winterfox,Xp3,Winterfox
24530,SmithZz,France,apEX,France,NBK-,France,shox,France,Happy,France,jdm64,USA,anger,USA,mOE,USA,RUSH,USA,tarik,USA
24534,chrisJ,Netherlands,mikeS,Netherlands,anger,USA,kajsk1ng,Netherlands,tarik,USA,luosrevo,Netherlands,CRUC1AL,Netherlands,mOE,USA,jdm64,USA,RUSH,USA
24662,jdm64,CLG,DAVEY,Method,FNS,CLG,reltuC,CLG,hazed,CLG,tarik,CLG,SileNt3m,Method,Toy,Method,just9n,Method,Eley,Method
