MatchID, Map,TeamA,TeamB,TeamAWins, TeamARounds, TeamBRounds, A1_frags, A1_assists, A1_deaths, A2_frags, A2_assists, A2_deaths, A3_frags, A3_assists, A3_deaths, A4_frags, A4_assists, A4_deaths, A5_frags, A5_assists, A5_deaths, B1_frags, B1_assists, B1_deaths, B2_frags, B2_assists, B2_deaths, B3_frags, B3_assists, B3_deaths, B4_frags, B4_assists, B4_deaths, B5_frags, B5_assists, B5_deaths
19194,cache,Streamline,Chiefs,0,8,16,14,3,15,12,3,20,13,3,18,10,5,17,9,5,21,28,4,10,18,2,8,18,1,12,15,5,13,12,3,15
19195,cache,Vox Eminor,TRIDENT,1,16,0,17,3,0,20,5,6,15,3,6,14,0,3,14,3,8,10,0,16,4,2,16,4,1,16,3,1,16,2,1,16
19196,mirage,Immunity,AVANT GARDE,1,16,9,27,2,14,27,3,16,19,3,13,18,2,16,8,11,19,18,1,17,17,4,21,19,2,22,14,4,20,10,1,19
19197,cache,Titan,fnatic,0,8,16,15,4,18,16,3,19,12,3,21,11,0,20,10,5,21,28,3,9,21,4,15,17,3,12,18,5,15,15,5,13
19198,nuke,NiP,TSM,1,16,2,21,4,7,19,6,6,17,2,5,15,2,7,14,5,6,12,1,17,6,1,17,5,1,17,3,0,17,4,2,18
19201,mirage,PENTA,Deponeret,0,11,16,23,6,19,20,8,18,19,4,18,16,6,19,14,6,18,26,1,17,24,5,19,14,1,14,15,6,19,13,6,23
19202,nuke,Virtus.pro,Deponeret,1,16,8,25,7,14,22,2,15,21,1,12,17,5,12,11,2,12,17,2,19,13,4,19,12,1,18,11,4,18,12,3,22
19203,cobblestone,Virtus.pro,Deponeret,1,16,3,24,6,10,21,6,7,19,6,9,13,10,8,10,0,9,12,5,18,10,3,17,10,2,18,5,0,17,6,2,18
19204,dust2,HellRaisers,Virtus.pro,1,16,12,25,4,13,24,6,17,20,3,17,19,9,18,19,1,20,26,2,22,18,7,22,18,3,20,15,3,21,8,5,22
19205,inferno,HellRaisers,Virtus.pro,0,9,16,15,2,19,15,3,19,13,2,19,13,3,16,11,0,19,23,2,13,17,2,10,20,3,14,18,2,14,14,3,16
19206,mirage,HellRaisers,Virtus.pro,1,16,8,21,4,13,18,6,12,20,8,14,18,3,13,18,2,14,19,0,18,16,6,20,14,4,20,10,4,18,7,1,19
19211,cache,Property,volgare,1,16,12,31,4,15,21,4,18,18,7,19,20,3,20,16,4,17,23,5,22,20,6,21,18,4,19,14,4,21,14,5,23
19219,dust2,AliGon,dignitas,0,7,16,26,2,17,13,3,17,8,7,18,9,3,18,7,0,21,24,3,13,23,4,12,21,3,14,15,6,10,8,2,14
19220,cache,dignitas,AliGon,0,10,16,21,4,18,18,5,19,15,6,19,14,5,18,12,6,21,23,3,14,23,3,18,18,6,14,19,6,19,12,3,15
19221,inferno,AliGon,dignitas,1,16,10,29,2,14,21,4,17,17,4,13,18,8,16,13,0,16,18,1,19,18,2,21,14,4,19,13,4,20,13,4,19
19222,inferno,CPH Wolves,PENTA,0,10,16,21,3,17,16,2,17,20,3,20,11,6,18,8,4,18,20,5,13,18,7,15,17,3,13,21,2,21,14,5,14
19223,dust2,PENTA,CPH Wolves,1,16,5,29,3,8,19,3,14,15,5,7,10,1,8,13,3,13,11,1,17,13,1,17,10,0,17,10,2,18,6,4,17
19227,inferno,PENTA,HellRaisers,1,16,8,20,3,11,20,3,15,18,6,13,17,9,14,16,5,14,19,5,18,14,1,19,14,1,20,11,8,18,9,2,18
19228,cache,PENTA,HellRaisers,0,13,16,22,2,18,20,2,19,20,3,22,15,5,17,14,3,20,25,4,15,21,3,19,19,4,18,18,6,19,13,2,20
19229,cache,AliGon,PENTA,0,12,16,25,0,19,16,1,21,18,6,22,16,4,23,13,2,21,28,4,16,25,6,19,21,7,17,20,10,19,12,6,18
19230,dust2,AliGon,PENTA,0,13,16,29,5,23,18,4,20,20,8,21,17,5,22,11,3,22,25,8,19,24,4,20,22,5,19,18,3,17,19,4,20
19231,inferno,AliGon,PENTA,0,12,16,23,3,18,21,3,22,13,5,18,17,3,22,13,4,20,24,2,16,20,5,16,18,3,17,20,7,19,18,6,20
19232,cache,G2,Orbit,0,12,16,22,1,18,23,5,17,20,6,20,18,4,20,17,3,21,24,7,21,23,1,21,21,1,19,16,6,22,12,2,17
19233,mirage,Orbit,G2,0,7,16,19,6,23,16,2,20,15,0,17,12,4,21,7,5,19,22,4,11,22,3,15,19,4,14,17,3,13,20,3,16
19234,dust2,Orbit,G2,1,16,13,25,4,17,26,4,21,22,5,19,21,4,21,16,4,17,20,4,20,20,5,20,20,4,25,17,5,23,17,6,22
19235,mirage,GGWP,x6tence,0,10,16,20,1,20,17,2,18,17,7,18,16,2,21,12,2,21,25,5,16,19,2,12,18,1,17,17,7,18,19,5,19
19236,dust2,LGB,PENTA,1,16,3,21,4,9,20,3,14,18,3,9,15,4,10,12,2,9,17,6,16,17,4,17,5,5,16,7,4,19,5,3,18
