MatchID, Map,TeamAWins, TeamARounds, TeamBRounds, A1_frags, A1_assists, A1_deaths, A2_frags, A2_assists, A2_deaths, A3_frags, A3_assists, A3_deaths, A4_frags, A4_assists, A4_deaths, A5_frags, A5_assists, A5_deaths, B1_frags, B1_assists, B1_deaths, B2_frags, B2_assists, B2_deaths, B3_frags, B3_assists, B3_deaths, B4_frags, B4_assists, B4_deaths, B5_frags, B5_assists, B5_deaths
27191,cobblestone,1, 16, 3,21 ,4,11,17 ,2,11,16 ,3,11,17 ,3,13,15 ,1,10,13 ,1,16,13 ,3,18,12 ,1,17,10 ,3,17,8 ,1,18
27192,overpass,1, 16, 10,27 ,2,13,27 ,3,15,20 ,3,14,17 ,6,13,16 ,4,16,17 ,3,18,16 ,5,21,14 ,2,21,13 ,4,22,11 ,2,25
27193,cobblestone,1, 16, 9,27 ,5,14,23 ,3,15,21 ,4,13,16 ,4,18,14 ,4,17,20 ,4,20,19 ,3,21,15 ,2,19,13 ,3,19,10 ,4,22
27194,dust2,0, 6, 16,19 ,3,20,11 ,3,18,12 ,5,18,12 ,3,20,10 ,3,21,24 ,5,10,23 ,2,13,22 ,6,15,19 ,7,15,9 ,7,11
27195,cache,0, 12, 16,22 ,2,22,20 ,5,17,20 ,3,21,20 ,2,23,14 ,3,21,24 ,4,20,24 ,6,16,22 ,5,21,16 ,2,17,18 ,4,22
27196,mirage,1, 16, 4,25 ,6,11,21 ,6,11,17 ,0,10,15 ,3,9,12 ,3,16,14 ,6,18,12 ,3,17,13 ,3,18,10 ,2,18,8 ,3,19
27197,cache,1, 16, 12,25 ,1,17,22 ,2,18,21 ,5,16,16 ,5,19,14 ,2,17,25 ,3,20,20 ,6,20,20 ,3,19,12 ,4,19,10 ,4,20
27199,dust2,0, 9, 16,22 ,5,19,18 ,2,22,15 ,2,20,14 ,2,20,12 ,3,24,28 ,4,11,24 ,11,17,21 ,4,17,20 ,4,18,11 ,3,18
27200,inferno,1, 16, 10,26 ,2,13,19 ,5,14,18 ,2,17,17 ,3,17,14 ,6,15,21 ,4,17,17 ,1,16,13 ,5,19,15 ,4,23,10 ,2,19
27203,cache,1, 16, 13,28 ,8,15,29 ,4,17,24 ,3,18,17 ,4,18,16 ,11,21,25 ,3,23,16 ,6,23,18 ,7,24,15 ,6,23,14 ,2,23
27204,inferno,0, 7, 16,13 ,2,18,15 ,2,18,16 ,1,19,13 ,1,18,10 ,3,17,23 ,4,12,18 ,2,12,17 ,8,13,17 ,1,16,15 ,5,14
27205,cobblestone,1, 16, 8,25 ,2,14,20 ,3,13,17 ,5,13,17 ,2,12,17 ,3,12
27208,cache,1, 16, 9,21 ,5,11,24 ,4,14,19 ,3,16,18 ,4,19,14 ,5,18,24 ,3,20,17 ,4,16,15 ,4,21,12 ,4,19,10 ,3,20
27209,train,1, 16, 12,27 ,3,20,26 ,5,19,21 ,2,20,18 ,3,17,7 ,3,24,23 ,5,18,25 ,3,22,21 ,7,19,16 ,6,19,15 ,5,21
27210,overpass,0, 6, 16,15 ,0,15,13 ,3,19,12 ,4,20,9 ,3,18,7 ,4,18,21 ,2,10,21 ,3,11,19 ,2,12,15 ,5,10,13 ,3,13
27211,mirage,0, 8, 16,20 ,3,15,15 ,4,15,16 ,2,21,10 ,3,15,9 ,3,19,20 ,4,11,21 ,2,15,20 ,4,16,15 ,3,15,9 ,1,13
27212,overpass,1, 16, 11,23 ,4,15,23 ,1,14,22 ,2,16,14 ,2,17,14 ,7,19,21 ,1,19,16 ,3,19,15 ,0,18,18 ,3,22,11 ,1,18
27215,inferno,0, 12, 16,23 ,2,19,20 ,2,22,14 ,1,19,12 ,6,22,13 ,1,22,29 ,4,19,20 ,6,14,21 ,4,14,20 ,3,19,14 ,2,16
27216,cache,0, 6, 16,14 ,2,19,14 ,1,19,11 ,6,20,12 ,1,20,8 ,3,19,20 ,6,12,21 ,5,12,20 ,3,10,20 ,2,12,16 ,3,13
27217,mirage,0, 13, 16,26 ,2,23,21 ,2,19,20 ,4,25,17 ,4,26,12 ,6,24,27 ,5,16,24 ,2,17,27 ,8,20,20 ,4,22,19 ,2,22
27218,overpass,0, 10, 16,24 ,2,20,19 ,4,16,18 ,4,21,12 ,2,22,7 ,4,21,24 ,5,15,23 ,5,15,20 ,3,18,19 ,3,15,13 ,6,17
27219,mirage,1, 16, 10,24 ,3,15,24 ,3,14,24 ,5,18,20 ,1,14,17 ,8,21,23 ,2,19,22 ,4,22,15 ,4,25,11 ,6,20,11 ,4,23
27220,cache,0, 9, 16,23 ,0,18,17 ,3,18,18 ,9,21,14 ,3,23,8 ,5,19,23 ,3,18,18 ,3,14,22 ,3,18,20 ,6,16,16 ,6,14
27221,dust2,1, 16, 3,24 ,5,12,15 ,3,12,15 ,8,10,16 ,4,10,12 ,4,12,13 ,3,16,12 ,3,16,11 ,4,16,11 ,4,16,9 ,1,18
27222,cache,1, 16, 10,22 ,6,15,20 ,4,13,19 ,3,14,21 ,7,17,10 ,3,15,27 ,1,17,15 ,3,17,12 ,3,19,13 ,0,19,7 ,2,20
27223,mirage,0, 7, 16,23 ,5,20,15 ,3,17,12 ,2,17,10 ,3,18,11 ,4,20,22 ,5,11,19 ,2,15,19 ,7,16,16 ,5,13,16 ,8,16
27224,dust2,1, 16, 10,26 ,2,16,25 ,3,15,19 ,4,15,16 ,4,13,15 ,8,15,22 ,1,18,12 ,0,20,12 ,4,19,15 ,1,22,13 ,4,22
27225,cache,1, 16, 1,23 ,4,6,20 ,4,5,18 ,2,7,11 ,3,6,12 ,5,7,8 ,1,16,9 ,1,17,6 ,1,17,6 ,2,17,2 ,1,17
27226,dust2,0, 4, 16,12 ,1,15,15 ,4,18,13 ,4,19,10 ,2,19,6 ,0,20,23 ,4,11,22 ,6,12,16 ,4,9,15 ,2,11,15 ,5,13
27227,cache,1, 16, 10,24 ,3,16,23 ,1,15,18 ,3,17,17 ,5,21,12 ,3,21,28 ,3,16,18 ,6,19,18 ,5,20,14 ,4,18,12 ,3,21
27228,inferno,1, 16, 12,29 ,1,18,20 ,5,20,19 ,3,18,19 ,3,21,15 ,4,19,22 ,4,18,25 ,3,18,23 ,4,22,14 ,3,22,12 ,4,22
27230,mirage,1, 16, 7,20 ,4,9,23 ,5,11,24 ,0,18,18 ,3,13,12 ,5,13,17 ,6,20,14 ,0,20,14 ,1,19,14 ,1,19,5 ,3,19
27233,mirage,0, 1, 16,9 ,2,16,8 ,2,15,7 ,1,17,7 ,6,17,6 ,0,17,17 ,1,2,19 ,2,8,18 ,5,10,14 ,3,8,14 ,1,9
27234,cache,1, 16, 5,24 ,2,12,21 ,2,9,18 ,5,10,17 ,5,10,9 ,2,11,14 ,1,17,12 ,1,17,8 ,4,17,9 ,3,18,8 ,3,20
